tx,EmitEvent,ProgramParsed,CreateAccount,GetStorageUsed,UpdateAccountContractCode,SetProgram,ValueDecoded,GetAccountContractCode,ProgramChecked,ValueEncoded,ContractFunctionInvoke,GetStorageCapacity,GenerateUUID,GetAccountBalance,ProgramInterpreted,function_or_loop_call,AddEncodedAccountKey,GetCode,SetValue,ValueExists,GetAccountAvailableBalance,AllocateStorageIndex,ResolveLocation,GetValue,GetProgram,RevokeEncodedAccountKey,ms
convert int to string,3,1,0,3,0,1,13,0,1,0,4,3,1,0,5,1075678,0,0,343,0,0,0,3,2094,20,0,390
emit event,53395,1,0,3,0,1,14,0,1,0,4,3,1,0,5,320354,0,0,343,0,0,0,3,2251,20,0,376
add key to account,5151,1,0,3,0,1,13,0,1,0,4,3,1,0,5,25742,5148,0,343,0,0,0,3,2094,20,0,390
borrow array from storage,3,1,0,3,0,1,14,0,1,0,4,3,1,0,5,312160,0,0,343,0,0,0,3,2646,20,0,396
get account and get available balance,3,1,0,1321,0,1,3967,0,1,0,1322,3,1,0,1323,5274,0,0,343,0,1318,0,3,609692,3974,0,445
borrow array from storage,3,1,0,3,0,1,14,0,1,0,4,3,1,0,5,312160,0,0,343,0,0,0,3,2646,20,0,1310
add key to account,5151,1,0,3,0,1,13,0,1,0,4,3,1,0,5,25742,5148,0,343,0,0,0,3,2094,20,0,512
copy array from storage and save a duplicate,3,1,0,3,0,1,15,0,1,1,4,3,1,0,5,26080,0,0,895,0,0,1003,3,3198,20,0,71
convert int to string and concatenate it,3,1,0,3,0,1,13,0,1,0,4,3,1,0,5,686052,0,0,343,0,0,0,3,2094,20,0,330
get account and get storage used,3,1,0,32277,0,1,13,0,1,0,4,3,1,0,5,129098,0,0,343,0,0,0,3,2094,20,0,426
call empty contract function,3,1,0,3,0,1,14,0,1,0,4,3,1,0,5,475470,0,0,343,0,0,0,3,2251,20,0,413
call empty contract function,3,7,0,3,0,7,14,6,7,0,4,3,1,0,5,475470,0,6,343,0,0,0,12,2251,29,0,417
get signer vault,3,1,0,3,0,1,14,0,1,0,4,3,1,0,5,288682,0,0,343,0,0,0,3,2235,20,0,420
get account and get balance,3,1,0,3,0,1,3283,0,1,0,1094,3,1,1090,1095,4362,0,0,343,0,0,0,3,524204,5470,0,396
get account and get balance,3,1,0,3,0,1,3283,0,1,0,1094,3,1,1090,1095,4362,0,0,343,0,0,0,3,524204,5470,0,409
copy array from storage and save a duplicate,3,1,0,3,0,1,15,0,1,1,4,3,1,0,5,26080,0,0,895,0,0,1003,3,3198,20,0,48
borrow array from storage,3,1,0,3,0,1,14,0,1,0,4,3,1,0,5,312160,0,0,343,0,0,0,3,2646,20,0,407
load and save long string on signers address,3,1,0,3,0,1,14,0,1,1,4,3,1,0,5,570038,0,0,387,0,0,0,3,2138,20,0,414
get account and get balance,3,1,0,3,0,1,3283,0,1,0,1094,3,1,1090,1095,4362,0,0,343,0,0,0,3,524204,5470,0,396
create new account and deploy contract,1970,282,281,284,281,1,2542,281,282,1124,566,284,844,0,1129,1969,0,281,232730,843,0,562,3,389593,2268,0,418
get account and get storage capacity,3,1,0,3,0,1,4747,0,1,0,1582,1581,1,0,1583,6314,0,0,343,0,0,0,3,729552,4754,0,578
copy array from storage and save a duplicate,3,7,0,3,0,7,15,6,7,1,4,3,1,0,5,26080,0,6,895,0,0,1003,12,3198,29,0,52
get signer receiver,3,7,0,3,0,7,15,6,7,0,4,3,1,0,5,194222,0,6,343,0,0,0,12,2358,29,0,487
get signer receiver,3,1,0,3,0,1,15,0,1,0,4,3,1,0,5,194222,0,0,343,0,0,0,3,2358,20,0,390
get account and get storage capacity,3,1,0,3,0,1,4747,0,1,0,1582,1581,1,0,1583,6314,0,0,343,0,0,0,3,729552,4754,0,411
get signer vault,3,1,0,3,0,1,14,0,1,0,4,3,1,0,5,288682,0,0,343,0,0,0,3,2235,20,0,446
load and save long string on signers address,3,1,0,3,0,1,14,0,1,1,4,3,1,0,5,570038,0,0,387,0,0,0,3,2138,20,0,939
get public account,3,1,0,3,0,1,13,0,1,0,4,3,1,0,5,525934,0,0,343,0,0,0,3,2094,20,0,385
load and save empty string on signers address,3,1,0,3,0,1,14,0,1,1,4,3,1,0,5,558470,0,0,346,0,0,0,3,2138,20,0,400
load and save long string on signers address,3,1,0,3,0,1,14,0,1,1,4,3,1,0,5,570038,0,0,387,0,0,0,3,2097,20,0,447
create new account,2037,1,339,342,0,1,3064,0,1,1017,682,342,1018,0,683,1358,0,0,247474,1017,0,339,3,469575,2732,0,416
get account and get available balance,3,1,0,1321,0,1,3967,0,1,0,1322,3,1,0,1323,5274,0,0,343,0,1318,0,3,609692,3974,0,427
get signer vault,3,1,0,3,0,1,14,0,1,0,4,3,1,0,5,288682,0,0,343,0,0,0,3,2235,20,0,445
copy array from storage,3,7,0,3,0,7,14,6,7,0,4,3,1,0,5,422974,0,6,343,0,0,0,12,2646,29,0,391
add key to account,5151,1,0,3,0,1,13,0,1,0,4,3,1,0,5,25742,5148,0,343,0,0,0,3,2094,20,0,402
convert int to string,3,1,0,3,0,1,13,0,1,0,4,3,1,0,5,1075678,0,0,343,0,0,0,3,2094,20,0,387
copy array from storage and save a duplicate,3,1,0,3,0,1,15,0,1,1,4,3,1,0,5,26080,0,0,895,0,0,1003,3,3198,20,0,46
copy array from storage and save a duplicate,3,1,0,3,0,1,15,0,1,1,4,3,1,0,5,26080,0,0,895,0,0,1003,3,3198,20,0,45
add and remove key to/from account,5917,1,0,3,0,1,13,0,1,0,4,3,1,0,5,20701,2957,0,343,0,0,0,3,2094,20,2957,359
convert int to string,3,1,0,3,0,1,13,0,1,0,4,3,1,0,5,1075678,0,0,343,0,0,0,3,2094,20,0,394
convert int to string,3,1,0,3,0,1,13,0,1,0,4,3,1,0,5,1075678,0,0,343,0,0,0,3,2094,20,0,392
copy array from storage,3,1,0,3,0,1,14,0,1,0,4,3,1,0,5,422974,0,0,343,0,0,0,3,2646,20,0,386
get signer receiver,3,1,0,3,0,1,15,0,1,0,4,3,1,0,5,194222,0,0,343,0,0,0,3,2358,20,0,399
get account and get available balance,3,1,0,1321,0,1,3967,0,1,0,1322,3,1,0,1323,5274,0,0,343,0,1318,0,3,609692,3974,0,401
copy array from storage,3,1,0,3,0,1,14,0,1,0,4,3,1,0,5,422974,0,0,343,0,0,0,3,2646,20,0,391
create new account and deploy contract,1970,288,281,284,281,7,2542,287,288,1124,566,284,844,0,1129,1969,0,287,232728,843,0,562,12,389593,2277,0,425
mint NFT,3,1,0,4,0,1,17,0,1,0,5,4,9521,0,6,114242,0,0,1900383,0,0,9766,3,6721,23,0,741
emit event,53395,1,0,3,0,1,14,0,1,0,4,3,1,0,5,320354,0,0,343,0,0,0,3,2251,20,0,390
convert int to string,3,1,0,3,0,1,13,0,1,0,4,3,1,0,5,1075678,0,0,343,0,0,0,3,2094,20,0,434
convert int to string and concatenate it,3,1,0,3,0,1,13,0,1,0,4,3,1,0,5,686052,0,0,343,0,0,0,3,2094,20,0,328
convert int to string,3,1,0,3,0,1,13,0,1,0,4,3,1,0,5,1075678,0,0,343,0,0,0,3,2094,20,0,388
get signer vault,3,1,0,3,0,1,14,0,1,0,4,3,1,0,5,288682,0,0,343,0,0,0,3,2235,20,0,464
get account and get balance,3,1,0,3,0,1,3283,0,1,0,1094,3,1,1090,1095,4362,0,0,343,0,0,0,3,524204,5470,0,396
get account and get balance,3,7,0,3,0,7,3283,6,7,0,1094,3,1,1090,1095,4362,0,6,343,0,0,0,12,524204,5479,0,394
emit event,53395,1,0,3,0,1,14,0,1,0,4,3,1,0,5,320354,0,0,343,0,0,0,3,2251,20,0,381
copy array from storage and save a duplicate,3,1,0,3,0,1,15,0,1,1,4,3,1,0,5,26080,0,0,895,0,0,1003,3,3198,20,0,46
copy array from storage and save a duplicate,3,1,0,3,0,1,15,0,1,1,4,3,1,0,5,26080,0,0,895,0,0,1003,3,3198,20,0,47
emit event,53395,1,0,3,0,1,14,0,1,0,4,3,1,0,5,320354,0,0,343,0,0,0,3,2251,20,0,373
get public account,3,1,0,3,0,1,13,0,1,0,4,3,1,0,5,525934,0,0,343,0,0,0,3,2094,20,0,381
get signer receiver,3,1,0,3,0,1,15,0,1,0,4,3,1,0,5,194222,0,0,343,0,0,0,3,2358,20,0,394
create new account and deploy contract,1970,282,281,284,281,1,2542,281,282,1124,566,284,844,0,1129,1969,0,281,232730,843,0,562,3,389593,2268,0,478
add and remove key to/from account,5917,1,0,3,0,1,13,0,1,0,4,3,1,0,5,20701,2957,0,343,0,0,0,3,2094,20,2957,392
get account and get balance,3,1,0,3,0,1,3283,0,1,0,1094,3,1,1090,1095,4362,0,0,343,0,0,0,3,524204,5470,0,926
get account and get available balance,3,1,0,1321,0,1,3967,0,1,0,1322,3,1,0,1323,5274,0,0,343,0,1318,0,3,609692,3974,0,384
get public account,3,1,0,3,0,1,13,0,1,0,4,3,1,0,5,525934,0,0,343,0,0,0,3,2094,20,0,380
load and save long string on signers address,3,1,0,3,0,1,14,0,1,1,4,3,1,0,5,570038,0,0,387,0,0,0,3,2097,20,0,446
reference tx,3,1,0,3,0,1,13,0,1,0,4,3,1,0,5,1173650,0,0,343,0,0,0,3,2094,20,0,398
get signer receiver,3,1,0,3,0,1,15,0,1,0,4,3,1,0,5,194222,0,0,343,0,0,0,3,2358,20,0,679
create new account and deploy contract,1970,282,281,284,281,1,2542,281,282,1124,566,284,844,0,1129,1969,0,281,232729,843,0,562,3,389593,2268,0,415
reference tx,3,1,0,3,0,1,13,0,1,0,4,3,1,0,5,1173650,0,0,343,0,0,0,3,2094,20,0,418
create new account and deploy contract,1970,282,281,284,281,1,2542,281,282,1124,566,284,844,0,1129,1969,0,281,232730,843,0,562,3,389593,2268,0,443
create new account and deploy contract,1970,282,281,284,281,1,2542,281,282,1124,566,284,844,0,1129,1969,0,281,232729,843,0,562,3,389593,2268,0,431
get account and get available balance,3,1,0,1321,0,1,3967,0,1,0,1322,3,1,0,1323,5274,0,0,343,0,1318,0,3,609692,3974,0,377
borrow array from storage,3,1,0,3,0,1,14,0,1,0,4,3,1,0,5,312160,0,0,343,0,0,0,3,2646,20,0,1040
load and save empty string on signers address,3,1,0,3,0,1,14,0,1,1,4,3,1,0,5,558470,0,0,346,0,0,0,3,2097,20,0,443
emit event,53395,1,0,3,0,1,14,0,1,0,4,3,1,0,5,320354,0,0,343,0,0,0,3,2251,20,0,371
load and save long string on signers address,3,1,0,3,0,1,14,0,1,1,4,3,1,0,5,570038,0,0,387,0,0,0,3,2097,20,0,431
emit event,53395,1,0,3,0,1,14,0,1,0,4,3,1,0,5,320354,0,0,343,0,0,0,3,2251,20,0,368
load and save empty string on signers address,3,1,0,3,0,1,14,0,1,1,4,3,1,0,5,558470,0,0,346,0,0,0,3,2097,20,0,444
get public account,3,1,0,3,0,1,13,0,1,0,4,3,1,0,5,525934,0,0,343,0,0,0,3,2094,20,0,394
load and save long string on signers address,3,1,0,3,0,1,14,0,1,1,4,3,1,0,5,570038,0,0,387,0,0,0,3,2097,20,0,415
get signer address,3,1,0,3,0,1,13,0,1,0,4,3,1,0,5,1100681,0,0,343,0,0,0,3,2094,20,0,570
get signer receiver,3,1,0,3,0,1,15,0,1,0,4,3,1,0,5,194222,0,0,343,0,0,0,3,2358,20,0,421
mint NFT,3,1,0,4,0,1,17,0,1,0,5,4,9521,0,6,114242,0,0,1900143,0,0,9766,3,6481,23,0,579
copy array from storage,3,1,0,3,0,1,14,0,1,0,4,3,1,0,5,422974,0,0,343,0,0,0,3,2646,20,0,396
transfer tokens,8793,1,0,3,0,1,16,0,1,0,4,3,4396,0,5,153827,0,0,568,0,0,0,3,2480,20,0,404
get account and get storage capacity,3,1,0,3,0,1,4747,0,1,0,1582,1581,1,0,1583,6314,0,0,343,0,0,0,3,729552,4754,0,416
get account and get available balance,3,1,0,1321,0,1,3967,0,1,0,1322,3,1,0,1323,5274,0,0,343,0,1318,0,3,609692,3974,0,405
copy array from storage,3,1,0,3,0,1,14,0,1,0,4,3,1,0,5,422974,0,0,343,0,0,0,3,2646,20,0,380
get signer vault,3,1,0,3,0,1,14,0,1,0,4,3,1,0,5,288682,0,0,343,0,0,0,3,2235,20,0,423
transfer tokens,8793,1,0,3,0,1,16,0,1,0,4,3,4396,0,5,153827,0,0,568,0,0,0,3,2480,20,0,408
get signer receiver,3,1,0,3,0,1,15,0,1,0,4,3,1,0,5,194222,0,0,343,0,0,0,3,2358,20,0,516
get account and get available balance,3,1,0,1321,0,1,3967,0,1,0,1322,3,1,0,1323,5274,0,0,343,0,1318,0,3,609692,3974,0,398
add key to account,5151,1,0,3,0,1,13,0,1,0,4,3,1,0,5,25742,5148,0,343,0,0,0,3,2094,20,0,404
get public account,3,1,0,3,0,1,13,0,1,0,4,3,1,0,5,525934,0,0,343,0,0,0,3,2094,20,0,815
transfer tokens,8793,1,0,3,0,1,16,0,1,0,4,3,4396,0,5,153827,0,0,568,0,0,0,3,2480,20,0,392
convert int to string and concatenate it,3,1,0,3,0,1,13,0,1,0,4,3,1,0,5,686052,0,0,343,0,0,0,3,2094,20,0,323
get signer vault,3,1,0,3,0,1,14,0,1,0,4,3,1,0,5,288682,0,0,343,0,0,0,3,2235,20,0,523
create new account,2037,1,339,342,0,1,3064,0,1,1017,682,342,1018,0,683,1358,0,0,247474,1017,0,339,3,469575,2732,0,403
call empty contract function,3,1,0,3,0,1,14,0,1,0,4,3,1,0,5,475470,0,0,343,0,0,0,3,2251,20,0,962
get public account,3,1,0,3,0,1,13,0,1,0,4,3,1,0,5,525934,0,0,343,0,0,0,3,2094,20,0,490
mint NFT,3,1,0,4,0,1,17,0,1,0,5,4,9521,0,6,114242,0,0,1861093,0,0,9765,3,5539,23,0,412
add and remove key to/from account,5917,1,0,3,0,1,13,0,1,0,4,3,1,0,5,20701,2957,0,343,0,0,0,3,2094,20,2957,371
get signer vault,3,1,0,3,0,1,14,0,1,0,4,3,1,0,5,288682,0,0,343,0,0,0,3,2235,20,0,417
call empty contract function,3,1,0,3,0,1,14,0,1,0,4,3,1,0,5,475470,0,0,343,0,0,0,3,2251,20,0,411
add key to account,5151,1,0,3,0,1,13,0,1,0,4,3,1,0,5,25742,5148,0,343,0,0,0,3,2094,20,0,501
get public account,3,1,0,3,0,1,13,0,1,0,4,3,1,0,5,525934,0,0,343,0,0,0,3,2094,20,0,387
create new account,2037,1,339,342,0,1,3064,0,1,1017,682,342,1018,0,683,1358,0,0,247474,1017,0,339,3,469575,2732,0,415
emit event,53395,1,0,3,0,1,14,0,1,0,4,3,1,0,5,320354,0,0,343,0,0,0,3,2249,20,0,712
copy array from storage and save a duplicate,3,7,0,3,0,7,15,6,7,1,4,3,1,0,5,26080,0,6,895,0,0,1003,12,3198,29,0,63
get signer vault,3,1,0,3,0,1,14,0,1,0,4,3,1,0,5,288682,0,0,343,0,0,0,3,2235,20,0,425
convert int to string and concatenate it,3,1,0,3,0,1,13,0,1,0,4,3,1,0,5,686052,0,0,343,0,0,0,3,2094,20,0,327
reference tx,3,1,0,3,0,1,13,0,1,0,4,3,1,0,5,1173650,0,0,343,0,0,0,3,2094,20,0,365
get account and get storage capacity,3,1,0,3,0,1,4747,0,1,0,1582,1581,1,0,1583,6314,0,0,343,0,0,0,3,729552,4754,0,406
load and save empty string on signers address,3,1,0,3,0,1,14,0,1,1,4,3,1,0,5,558470,0,0,346,0,0,0,3,2138,20,0,433
get account and get storage capacity,3,1,0,3,0,1,4747,0,1,0,1582,1581,1,0,1583,6314,0,0,343,0,0,0,3,729552,4754,0,423
convert int to string and concatenate it,3,1,0,3,0,1,13,0,1,0,4,3,1,0,5,686052,0,0,343,0,0,0,3,2094,20,0,328
call empty contract function,3,1,0,3,0,1,14,0,1,0,4,3,1,0,5,475470,0,0,343,0,0,0,3,2251,20,0,407
get signer receiver,3,1,0,3,0,1,15,0,1,0,4,3,1,0,5,194222,0,0,343,0,0,0,3,2358,20,0,702
add key to account,5151,1,0,3,0,1,13,0,1,0,4,3,1,0,5,25742,5148,0,343,0,0,0,3,2094,20,0,383
copy array from storage,3,1,0,3,0,1,14,0,1,0,4,3,1,0,5,422974,0,0,343,0,0,0,3,2646,20,0,742
call empty contract function,3,1,0,3,0,1,14,0,1,0,4,3,1,0,5,475470,0,0,343,0,0,0,3,2251,20,0,408
emit event,53395,1,0,3,0,1,14,0,1,0,4,3,1,0,5,320354,0,0,343,0,0,0,3,2251,20,0,374
transfer tokens,8793,1,0,3,0,1,16,0,1,0,4,3,4396,0,5,153827,0,0,568,0,0,0,3,2480,20,0,485
get account and get balance,3,1,0,3,0,1,3283,0,1,0,1094,3,1,1090,1095,4362,0,0,343,0,0,0,3,524204,5470,0,388
add and remove key to/from account,5917,1,0,3,0,1,13,0,1,0,4,3,1,0,5,20701,2957,0,343,0,0,0,3,2094,20,2957,378
borrow array from storage,3,1,0,3,0,1,14,0,1,0,4,3,1,0,5,312160,0,0,343,0,0,0,3,2646,20,0,403
call empty contract function,3,1,0,3,0,1,14,0,1,0,4,3,1,0,5,475470,0,0,343,0,0,0,3,2249,20,0,489
load and save long string on signers address,3,1,0,3,0,1,14,0,1,1,4,3,1,0,5,570038,0,0,387,0,0,0,3,2138,20,0,504
get account and get available balance,3,1,0,1321,0,1,3967,0,1,0,1322,3,1,0,1323,5274,0,0,343,0,1318,0,3,609692,3974,0,387
borrow array from storage,3,7,0,3,0,7,14,6,7,0,4,3,1,0,5,312160,0,6,343,0,0,0,12,2646,29,0,396
get account and get available balance,3,1,0,1321,0,1,3967,0,1,0,1322,3,1,0,1323,5274,0,0,343,0,1318,0,3,609692,3974,0,661
borrow array from storage,3,1,0,3,0,1,14,0,1,0,4,3,1,0,5,312160,0,0,343,0,0,0,3,2646,20,0,410
copy array from storage,3,1,0,3,0,1,14,0,1,0,4,3,1,0,5,422974,0,0,343,0,0,0,3,2646,20,0,426
transfer tokens,8793,1,0,3,0,1,16,0,1,0,4,3,4396,0,5,153827,0,0,568,0,0,0,3,2480,20,0,392
copy array from storage and save a duplicate,3,1,0,3,0,1,15,0,1,1,4,3,1,0,5,26080,0,0,895,0,0,1003,3,3198,20,0,49
get signer vault,3,1,0,3,0,1,14,0,1,0,4,3,1,0,5,288682,0,0,343,0,0,0,3,2235,20,0,415
add key to account,5151,1,0,3,0,1,13,0,1,0,4,3,1,0,5,25742,5148,0,343,0,0,0,3,2094,20,0,391
get account and get storage capacity,3,1,0,3,0,1,4747,0,1,0,1582,1581,1,0,1583,6314,0,0,343,0,0,0,3,729552,4754,0,476
get signer vault,3,1,0,3,0,1,14,0,1,0,4,3,1,0,5,288682,0,0,343,0,0,0,3,2235,20,0,443
transfer tokens,8793,1,0,3,0,1,16,0,1,0,4,3,4396,0,5,153827,0,0,568,0,0,0,3,2480,20,0,950
borrow array from storage,3,1,0,3,0,1,14,0,1,0,4,3,1,0,5,312160,0,0,343,0,0,0,3,2646,20,0,400
transfer tokens,8793,1,0,3,0,1,16,0,1,0,4,3,4396,0,5,153827,0,0,568,0,0,0,3,2480,20,0,395
convert int to string and concatenate it,3,1,0,3,0,1,13,0,1,0,4,3,1,0,5,686052,0,0,343,0,0,0,3,2094,20,0,322
get signer address,3,1,0,3,0,1,13,0,1,0,4,3,1,0,5,1100681,0,0,343,0,0,0,3,2094,20,0,476
create new account and deploy contract,1970,282,281,284,281,1,2542,281,282,1124,566,284,844,0,1129,1969,0,281,232728,843,0,562,3,389593,2268,0,439
create new account and deploy contract,1970,282,281,284,281,1,2542,281,282,1124,566,284,844,0,1129,1969,0,281,232730,843,0,562,3,389593,2268,0,441
get account and get storage capacity,3,1,0,3,0,1,4747,0,1,0,1582,1581,1,0,1583,6314,0,0,343,0,0,0,3,729552,4754,0,425
get public account,3,1,0,3,0,1,13,0,1,0,4,3,1,0,5,525934,0,0,343,0,0,0,3,2094,20,0,381
add key to account,5151,1,0,3,0,1,13,0,1,0,4,3,1,0,5,25742,5148,0,343,0,0,0,3,2094,20,0,395
borrow array from storage,3,1,0,3,0,1,14,0,1,0,4,3,1,0,5,312160,0,0,343,0,0,0,3,2646,20,0,399
get account and get storage capacity,3,1,0,3,0,1,4747,0,1,0,1582,1581,1,0,1583,6314,0,0,343,0,0,0,3,729552,4754,0,423
get signer address,3,1,0,3,0,1,13,0,1,0,4,3,1,0,5,1100681,0,0,343,0,0,0,3,2094,20,0,421
create new account and deploy contract,1970,282,281,284,281,1,2542,281,282,1124,566,284,844,0,1129,1969,0,281,232166,843,0,562,3,389031,2268,0,458
call empty contract function,3,1,0,3,0,1,14,0,1,0,4,3,1,0,5,475470,0,0,343,0,0,0,3,2251,20,0,408
get account and get storage capacity,3,1,0,3,0,1,4747,0,1,0,1582,1581,1,0,1583,6314,0,0,343,0,0,0,3,729552,4754,0,483
transfer tokens,8793,1,0,3,0,1,16,0,1,0,4,3,4396,0,5,153827,0,0,568,0,0,0,3,2480,20,0,401
add and remove key to/from account,5917,1,0,3,0,1,13,0,1,0,4,3,1,0,5,20701,2957,0,343,0,0,0,3,2094,20,2957,378
emit event,53395,1,0,3,0,1,14,0,1,0,4,3,1,0,5,320354,0,0,343,0,0,0,3,2251,20,0,409
get account and get storage used,3,1,0,32277,0,1,13,0,1,0,4,3,1,0,5,129098,0,0,343,0,0,0,3,2094,20,0,416
add key to account,5151,1,0,3,0,1,13,0,1,0,4,3,1,0,5,25742,5148,0,343,0,0,0,3,2094,20,0,378
